"no","name","teacher_id","slogan","register_date","modify_date"
1,计算机A班,xin_lin@zhang_san, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-03 21:35:13,2019-03-03 21:35:13
2,计算机B班,li_si@wang_wu,班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 20:30:05,2019-03-04 20:30:05
4,建筑A班,xin_lin@li_si, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 20:31:54,2019-03-04 20:31:54
7,数学A班,xin_lin, 班级宣传语班级宣传语班级宣传语,2019-03-04 20:32:56,2019-03-04 20:32:56
8,数学B班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 20:33:04,2019-03-04 20:33:04
9,经济学A班,wang_wu@liu_mou, 班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:52:06,2019-03-04 22:52:06
10,经济学B班,liu_mou,班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:54:10,2019-03-04 22:54:10
11,经济学C班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:54:26,2019-03-04 22:54:26
12,经济学E班,li_si, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:54:49,2019-03-04 22:54:49
13,英语A班,xin_lin, 班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:07,2019-03-04 22:55:07
14,英语B班,zhao_moumoumou, 班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:16,2019-03-04 22:55:16
15,英语C班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
16,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
17,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
18,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
19,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
20,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
21,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
22,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
23,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
24,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
25,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
26,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
27,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
28,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
29,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
30,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
31,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
32,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
33,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
34,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
35,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
36,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
37,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
38,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
39,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
40,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
41,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
42,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
43,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
44,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
45,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
46,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
47,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
48,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
49,英语D班,liang_chaowei, 班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语班级宣传语,2019-03-04 22:55:24,2019-03-04 22:55:24
